91,329

-202,394
-34,394
140,394
308,394
104,70
-70,70
-241,70
-277,193
-109,193
56,193
404,123
548,288
1661,153
1832,153
2000,153
2168,153
1262,62

16

767,201
947,201
767,201
947,201
767,201
947,201
767,201
947,201
1268,267
3125,259
3479,261

10

180,186
195,186
207,186
219,186
231,186
1592,300
1604,300
1619,301
1628,301
1637,301
1646,301
1658,301
1670,301
1682,301
1694,301
1706,301
1577,301
1562,301
1730,284
1742,284
1766,251
1775,251
1787,251

22

29,138
375,335
2858,162
2257,93
486,66
3939,176
2016,89

6

1496,314
1526,314
1546,313
1576,313
1600,313
1627,313
1648,313
1678,313
1711,313
1717,295
1717,316
1747,316
1768,316
1768,295
1747,295
1759,262
1774,262
1774,295
1774,313
1750,286
1750,310

20

-158,311

19,-7

